"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест со скриншотами для визуальной проверки","432","test_screenshot_comparison[tablet-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тест содержимого SVG логотипа","33","test_svg_logo_content[tablet-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тест содержимого SVG логотипа","34","test_svg_logo_content[desktop-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тест содержимого SVG логотипа","33","test_svg_logo_content[desktop_hd-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тест семантической структуры","35","test_semantic_structure[desktop-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePageAccessibility","test_home_page","",""
"Тест функциональности кнопки 'Оставить заявку'","64","test_apply_button_functionality[desktop-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Базовый тест hero-секции","70","test_hero_section_basic[desktop-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тесты специфичные для десктопных устройств","19","test_desktop_specific_layout[desktop_config1-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тесты специфичные для мобильных устройств","20","test_mobile_specific_layout[mobile_config0-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тест навигации с клавиатуры","32","test_keyboard_navigation[desktop_hd-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePageAccessibility","test_home_page","",""
"Тесты специфичные для десктопных устройств","19","test_desktop_specific_layout[desktop_config0-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тест функциональности кнопки 'Оставить заявку'","58","test_apply_button_functionality[desktop_hd-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тест навигации с клавиатуры","31","test_keyboard_navigation[tablet-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePageAccessibility","test_home_page","",""
"Тест со скриншотами для визуальной проверки","652","test_screenshot_comparison[desktop-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тест навигации по кнопке вакансий","1080","test_vacancies_button_navigation[tablet-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тест навигации по кнопке вакансий","1066","test_vacancies_button_navigation[desktop_hd-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тест семантической структуры","34","test_semantic_structure[mobile-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePageAccessibility","test_home_page","",""
"Тест со скриншотами для визуальной проверки","505","test_screenshot_comparison[desktop_hd-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тест со скриншотами для визуальной проверки","363","test_screenshot_comparison[mobile-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тест навигации по кнопке вакансий","1102","test_vacancies_button_navigation[desktop-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тест содержимого SVG логотипа","34","test_svg_logo_content[mobile-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тест функциональности кнопки 'Оставить заявку'","63","test_apply_button_functionality[mobile-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тест семантической структуры","29","test_semantic_structure[tablet-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePageAccessibility","test_home_page","",""
"Тест функциональности кнопки 'Оставить заявку'","56","test_apply_button_functionality[tablet-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тест семантической структуры","29","test_semantic_structure[desktop_hd-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePageAccessibility","test_home_page","",""
"Тест навигации по кнопке вакансий","1275","test_vacancies_button_navigation[mobile-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Базовый тест hero-секции","67","test_hero_section_basic[desktop_hd-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Базовый тест hero-секции","73","test_hero_section_basic[mobile-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Базовый тест hero-секции","67","test_hero_section_basic[tablet-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePage","test_home_page","",""
"Тест навигации с клавиатуры","30","test_keyboard_navigation[mobile-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePageAccessibility","test_home_page","",""
"Тест навигации с клавиатуры","29","test_keyboard_navigation[desktop-chromium]","tests","2025-11-29","passed","2025-11-29","TestHomePageAccessibility","test_home_page","",""
